SchCode,Year,SubgroupCode,GoingCountN,GoingTotalD,GoingRate,CreditCountN,CreditTotalD,CreditRate
399,2013,10,5,10,0.5,5,8,0.625
399,2013,11,8,12,0.666666667,1,3,0.333333333
399,2013,16,2,2,1,2,3,0.666666667
399,2013,17,4,8,0.5,1,3,0.333333333
399,2013,19,2,2,1,0,0,-1
400,2013,1,258,375,0.688,74,154,0.480519481
400,2013,2,69,119,0.579831933,15,36,0.416666667
400,2013,3,11,28,0.392857143,1,6,0.166666667
400,2013,4,8,18,0.444444444,1,3,0.333333333
400,2013,6,1,1,1,0,0,-1
400,2013,7,6,10,0.6,1,2,0.5
400,2013,8,1,2,0.5,0,0,-1
400,2013,9,46,64,0.71875,4,10,0.4
400,2013,10,120,191,0.628272251,30,77,0.38961039
400,2013,11,138,184,0.75,44,77,0.571428571
400,2013,16,130,163,0.797546012,48,76,0.631578947
400,2013,17,58,109,0.532110092,14,48,0.291666667
400,2013,19,16,26,0.615384615,7,18,0.388888889
402,2013,1,12,19,0.631578947,3,13,0.230769231
402,2013,2,5,11,0.454545455,2,9,0.222222222
402,2013,3,0,0,-1,0,1,0
402,2013,4,0,0,-1,0,0,-1
402,2013,6,0,0,-1,0,0,-1
402,2013,7,0,0,-1,0,0,-1
402,2013,8,0,0,-1,0,0,-1
402,2013,9,1,3,0.333333333,1,1,1
402,2013,10,4,8,0.5,1,7,0.142857143
402,2013,11,8,11,0.727272727,2,6,0.333333333
402,2013,16,2,2,1,0,1,0
402,2013,17,9,14,0.642857143,2,11,0.181818182
402,2013,19,0,0,-1,0,0,-1
414,2013,1,140,227,0.616740088,30,63,0.476190476
414,2013,2,36,67,0.537313433,3,12,0.25
414,2013,3,8,26,0.307692308,0,6,0
414,2013,4,9,28,0.321428571,1,8,0.125
414,2013,6,3,3,1,0,0,-1
414,2013,7,6,17,0.352941176,0,2,0
414,2013,8,0,1,0,0,0,-1
414,2013,9,34,53,0.641509434,3,7,0.428571429
414,2013,10,54,108,0.5,17,30,0.566666667
414,2013,11,86,119,0.722689076,13,33,0.393939394
414,2013,16,59,85,0.694117647,23,41,0.56097561
414,2013,17,33,59,0.559322034,1,8,0.125
414,2013,19,5,9,0.555555556,3,5,0.6
415,2013,1,25,48,0.520833333,15,19,0.789473684
415,2013,2,5,15,0.333333333,1,3,0.333333333
415,2013,3,4,10,0.4,1,1,1
415,2013,4,1,5,0.2,0,0,-1
415,2013,6,0,0,-1,0,0,-1
415,2013,7,0,2,0,1,1,1
415,2013,8,0,0,-1,0,0,-1
415,2013,9,2,2,1,0,1,0
415,2013,10,10,27,0.37037037,8,9,0.888888889
415,2013,11,15,21,0.714285714,7,10,0.7
415,2013,16,17,33,0.515151515,10,12,0.833333333
415,2013,17,5,9,0.555555556,3,4,0.75
415,2013,19,1,2,0.5,1,1,1
418,2013,1,217,356,0.609550562,92,198,0.464646465
418,2013,2,70,133,0.526315789,33,62,0.532258065
418,2013,3,8,27,0.296296296,2,12,0.166666667
418,2013,4,18,43,0.418604651,8,18,0.444444444
418,2013,6,2,3,0.666666667,0,0,-1
418,2013,7,9,19,0.473684211,1,2,0.5
418,2013,8,2,3,0.666666667,0,0,-1
418,2013,9,24,36,0.666666667,6,19,0.315789474
418,2013,10,98,187,0.524064171,35,85,0.411764706
418,2013,11,119,169,0.704142012,57,113,0.504424779
418,2013,16,133,213,0.624413146,68,129,0.527131783
418,2013,17,36,63,0.571428571,10,34,0.294117647
418,2013,19,11,19,0.578947368,7,14,0.5
421,2013,1,42,71,0.591549296,10,29,0.344827586
421,2013,2,25,47,0.531914894,4,16,0.25
421,2013,3,4,15,0.266666667,0,1,0
421,2013,4,3,4,0.75,1,1,1
421,2013,6,0,1,0,0,0,-1
421,2013,7,0,0,-1,0,0,-1
421,2013,8,0,0,-1,0,0,-1
