SchCode,Year,SubgroupCode,GradeCode,SubjectCode,NbrActiveTested,NbrActive,PctTested,WellBelowProf,ApproachingProf,MeetsProf,ExceedsProf,NbrMeetsExceedsProf,NbrAllProf,PctProf
104,2011,1,7,M,133,133,1,46,28,43,16,59,133,0.443609023
104,2011,1,7,R,133,133,1,40,26,56,11,67,133,0.503759398
104,2011,1,8,R,153,154,0.993506494,32,52,40,29,69,153,0.450980392
104,2011,1,8,M,153,154,0.993506494,40,31,65,17,82,153,0.535947712
104,2011,1,6,R,128,130,0.984615385,37,41,36,14,50,128,0.390625
104,2011,1,6,M,129,130,0.992307692,48,40,31,10,41,129,0.317829457
104,2012,1,6,R,104,106,0.981132075,22,31,35,16,51,104,0.490384615
104,2012,1,6,M,104,106,0.981132075,28,34,28,14,42,104,0.403846154
104,2012,1,8,R,128,129,0.992248062,25,34,48,21,69,128,0.5390625
104,2012,1,7,R,126,128,0.984375,25,23,63,15,78,126,0.619047619
104,2012,1,8,M,128,129,0.992248062,33,19,60,16,76,128,0.59375
104,2012,1,7,M,126,128,0.984375,36,19,57,14,71,126,0.563492063
104,2012,1,8,S,0,0,-1,57,49,18,2,20,126,0.158730159
104,2013,15,99,R,33,34,0.970588235,8,16,7,2,9,33,0.272727273
104,2013,18,99,R,28,28,1,1,7,13,7,20,28,0.714285714
104,2013,18,99,M,28,28,1,5,9,11,3,14,28,0.5
104,2013,17,99,R,129,129,1,33,43,44,9,53,129,0.410852713
104,2013,17,99,M,128,129,0.992248062,57,36,32,3,35,128,0.2734375
104,2013,16,99,M,172,173,0.994219653,29,42,69,32,101,172,0.587209302
104,2013,15,99,M,33,34,0.970588235,14,10,9,0,9,33,0.272727273
104,2013,14,99,R,8,8,1,2,3,3,0,3,8,0.375
104,2013,14,99,M,8,8,1,0,5,3,0,3,8,0.375
104,2013,13,99,R,153,153,1,57,54,35,7,42,153,0.274509804
104,2013,13,99,M,153,153,1,71,31,39,12,51,153,0.333333333
104,2013,12,99,R,0,0,-1,0,0,0,0,0,0,-1
104,2013,8,99,R,1,1,1,1,0,0,0,0,1,0
104,2013,11,99,R,147,147,1,26,46,47,28,75,147,0.510204082
104,2013,11,99,M,146,147,0.993197279,42,38,49,17,66,146,0.452054795
104,2013,10,99,R,207,208,0.995192308,46,57,77,27,104,207,0.502415459
104,2013,10,99,M,207,208,0.995192308,58,54,71,24,95,207,0.458937198
104,2013,9,99,R,9,9,1,0,4,2,3,5,9,0.555555556
104,2013,9,99,M,9,9,1,1,3,3,2,5,9,0.555555556
104,2013,16,99,R,172,173,0.994219653,35,43,60,34,94,172,0.546511628
104,2013,12,99,M,0,0,-1,0,0,0,0,0,0,-1
104,2013,1,7,R,124,124,1,20,33,56,15,71,124,0.572580645
104,2013,5,99,S,115,117,0.982905983,50,42,20,3,23,115,0.2
104,2013,12,99,S,0,0,-1,0,0,0,0,0,0,-1
104,2013,14,99,S,0,0,-1,0,0,0,0,0,0,-1
104,2013,7,99,S,4,4,1,1,2,0,1,1,4,0.25
104,2013,1,8,R,125,126,0.992063492,27,34,36,28,64,125,0.512
104,2013,11,99,S,53,54,0.981481481,19,21,10,3,13,53,0.245283019
104,2013,15,99,S,14,15,0.933333333,11,1,2,0,2,14,0.142857143
104,2013,4,99,S,48,49,0.979591837,33,13,2,0,2,48,0.041666667
104,2013,1,8,M,125,126,0.992063492,25,22,62,16,78,125,0.624
104,2013,10,99,S,71,72,0.986111111,36,23,10,2,12,71,0.169014085
104,2013,13,99,S,55,56,0.982142857,34,16,4,1,5,55,0.090909091
104,2013,18,99,S,9,9,1,2,3,4,0,4,9,0.444444444
104,2013,2,99,S,108,109,0.990825688,52,37,16,3,19,108,0.175925926
104,2013,9,99,S,3,3,1,2,0,0,1,1,3,0.333333333
104,2013,8,99,S,0,0,-1,0,0,0,0,0,0,-1
104,2013,17,99,S,42,43,0.976744186,26,13,3,0,3,42,0.071428571
104,2013,1,8,S,124,126,0.984126984,55,44,20,5,25,124,0.201612903
104,2013,6,99,S,2,2,1,2,0,0,0,0,2,0
104,2013,1,99,S,124,126,0.984126984,55,44,20,5,25,124,0.201612903
104,2013,16,99,S,63,64,0.984375,21,26,13,3,16,63,0.253968254
104,2013,3,99,S,13,14,0.928571429,10,1,2,0,2,13,0.153846154
104,2013,1,7,M,123,124,0.991935484,42,32,33,16,49,123,0.398373984
104,2013,3,99,M,31,32,0.96875,14,9,8,0,8,31,0.258064516
